airline,from,to,day,month,year,age,gender,reason,stay,transit,connection,wait
Lufthansa,DEN,JFK,11,2,2017,59,unspecified,Business/Work,Short-term homestay,Car rental,False,0
Viva Aerobus,TPQ,LAX,23,4,2018,19,unspecified,Back Home,Home,Own car,False,0
Viva Aerobus,DEN,TPQ,10,5,2013,89,unspecified,On vacation/Pleasure,Hotel,Pickup,False,0
Volaris,MTY,GDL,18,9,2016,77,male,Back Home,Home,,False,0
Viva Aerobus,IZT,JFK,3,7,2014,78,undisclosed,On vacation/Pleasure,Hotel,,True,109
Lufthansa,DEN,MTY,12,9,2022,15,female,Business/Work,Friend/Family,,True,163
American Airlines,PVR,TPQ,30,8,2019,10,male,On vacation/Pleasure,Friend/Family,,True,671
Volaris,PVR,PDX,20,4,2020,65,female,On vacation/Pleasure,Friend/Family,,True,716
Aeromar,IZT,DEN,17,6,2020,9,undisclosed,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Aeromar,PVR,PDX,12,10,2021,18,undisclosed,On vacation/Pleasure,Short-term homestay,Car rental,False,0
Viva Aerobus,IZT,DEN,26,10,2017,53,unspecified,Business/Work,Hotel,,True,625
American Airlines,TPQ,TLC,31,5,2021,61,undisclosed,Business/Work,Short-term homestay,,True,551
American Airlines,IZT,SJC,21,8,2015,44,male,Business/Work,Hotel,,True,285
Delta Airlines,GDL,MTY,31,1,2018,86,unspecified,Back Home,Home,,False,0
Aeromar,PVR,TLC,22,7,2020,48,undisclosed,On vacation/Pleasure,Friend/Family,,True,123
Lufthansa,TPQ,PDX,3,5,2019,86,unspecified,Business/Work,Hotel,,True,340
Volaris,LAX,TPQ,5,9,2015,81,undisclosed,On vacation/Pleasure,Friend/Family,,True,271
American Airlines,GDL,IZT,15,8,2013,6,unspecified,Back Home,Home,Pickup,False,0
Delta Airlines,PVR,TPQ,10,3,2022,29,undisclosed,On vacation/Pleasure,Hotel,,True,392
American Airlines,LAX,IZT,3,8,2014,19,undisclosed,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Lufthansa,TPQ,DEN,27,1,2021,3,male,On vacation/Pleasure,Home,,True,132
Lufthansa,IZT,PDX,23,2,2020,68,unspecified,On vacation/Pleasure,Short-term homestay,,True,267
Aeromar,DEN,PDX,2,6,2020,34,undisclosed,Back Home,Home,,False,0
Aeromexico,PVR,TLC,4,4,2023,20,unspecified,Back Home,Home,,False,0
Alaska,TPQ,IZT,23,4,2019,71,unspecified,Back Home,Home,Own car,False,0
Volaris,JFK,MTY,29,10,2017,31,male,Business/Work,Hotel,,True,519
Delta Airlines,DEN,TPQ,5,10,2013,66,male,On vacation/Pleasure,Friend/Family,,True,216
Aeromar,JFK,GDL,13,9,2019,61,unspecified,Business/Work,Home,Airport cab,False,0
Viva Aerobus,TPQ,TLC,10,1,2022,35,unspecified,Business/Work,Short-term homestay,,True,629
Aeromexico,MTY,TLC,15,3,2021,34,female,Business/Work,Hotel,,True,361
Lufthansa,PVR,DEN,7,6,2022,46,undisclosed,On vacation/Pleasure,Home,,True,426
Delta Airlines,TLC,MTY,23,8,2014,90,unspecified,On vacation/Pleasure,Home,Airport cab,False,0
Alaska,SJC,PVR,1,6,2019,21,undisclosed,On vacation/Pleasure,Short-term homestay,Own car,False,0
Aeromexico,DEN,MTY,11,3,2019,72,male,On vacation/Pleasure,Hotel,Own car,False,0
Lufthansa,PDX,SJC,24,4,2017,70,female,Back Home,Home,Mobility as a service,False,0
Alaska,IZT,GDL,16,10,2014,83,unspecified,Business/Work,Home,Public Transportation,False,0
Volaris,SJC,MTY,13,7,2013,58,undisclosed,Business/Work,Short-term homestay,Pickup,False,0
Aeromar,JFK,LAX,15,3,2013,48,male,Business/Work,Home,,True,387
Delta Airlines,SJC,TLC,13,6,2022,45,unspecified,On vacation/Pleasure,Short-term homestay,,True,264
Viva Aerobus,JFK,TPQ,7,12,2022,55,unspecified,Business/Work,Short-term homestay,Car rental,False,0
Aeromexico,PDX,DEN,27,8,2022,66,unspecified,Back Home,Home,Mobility as a service,False,0
American Airlines,GDL,TPQ,19,2,2023,79,unspecified,Business/Work,Home,Public Transportation,False,0
American Airlines,TLC,JFK,15,11,2016,42,female,Back Home,Home,Own car,False,0
Volaris,SJC,MTY,25,5,2015,70,female,On vacation/Pleasure,Friend/Family,Own car,False,0
Aeromar,TPQ,IZT,14,3,2022,90,undisclosed,On vacation/Pleasure,Hotel,Pickup,False,0
American Airlines,JFK,GDL,28,6,2021,25,female,Back Home,Home,Public Transportation,False,0
Alaska,TLC,IZT,14,10,2015,75,female,Business/Work,Hotel,Own car,False,0
American Airlines,GDL,IZT,30,4,2020,62,undisclosed,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Viva Aerobus,TLC,MTY,11,3,2013,28,male,Business/Work,Hotel,,True,234
Lufthansa,GDL,TLC,31,3,2018,86,female,On vacation/Pleasure,Short-term homestay,Own car,False,0
Aeromar,PVR,MTY,29,10,2013,13,female,On vacation/Pleasure,Home,Mobility as a service,False,0
American Airlines,DEN,TPQ,22,7,2013,3,undisclosed,Back Home,Home,Public Transportation,False,0
Delta Airlines,LAX,PDX,17,3,2022,7,undisclosed,Business/Work,Friend/Family,Airport cab,False,0
Delta Airlines,TLC,MTY,24,12,2019,4,male,Business/Work,Home,Mobility as a service,False,0
Volaris,LAX,MTY,5,4,2019,18,female,Business/Work,Hotel,,True,465
Volaris,SJC,JFK,20,9,2017,75,unspecified,Back Home,Home,Public Transportation,False,0
Alaska,PVR,DEN,24,8,2021,24,undisclosed,Back Home,Home,Own car,False,0
Lufthansa,SJC,TLC,20,5,2021,60,male,On vacation/Pleasure,Home,Car rental,False,0
Volaris,TPQ,MTY,14,5,2019,38,female,Back Home,Home,,False,0
Delta Airlines,TPQ,IZT,26,2,2018,84,unspecified,Back Home,Home,Public Transportation,False,0
Aeromar,DEN,SJC,25,2,2021,49,undisclosed,Business/Work,Friend/Family,Car rental,False,0
Delta Airlines,PVR,LAX,5,7,2013,54,male,On vacation/Pleasure,Hotel,,True,546
Volaris,PDX,TPQ,10,5,2014,32,female,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Aeromar,LAX,PVR,3,1,2015,36,male,Back Home,Home,,False,0
Delta Airlines,IZT,JFK,14,8,2018,40,unspecified,On vacation/Pleasure,Hotel,Public Transportation,False,0
Alaska,TPQ,JFK,25,1,2019,24,male,Business/Work,Home,Own car,False,0
Viva Aerobus,LAX,GDL,20,1,2016,31,male,Business/Work,Home,Airport cab,False,0
Alaska,PVR,TPQ,18,6,2014,68,male,Business/Work,Friend/Family,,True,32
Lufthansa,DEN,JFK,8,6,2022,39,male,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Lufthansa,GDL,MTY,11,5,2021,40,unspecified,On vacation/Pleasure,Friend/Family,Pickup,False,0
Aeromar,IZT,TLC,27,9,2015,1,unspecified,Business/Work,Short-term homestay,Public Transportation,False,0
American Airlines,PDX,IZT,11,8,2013,8,female,Business/Work,Home,Public Transportation,False,0
Aeromexico,TLC,IZT,4,1,2018,28,undisclosed,Back Home,Home,,False,0
Aeromar,MTY,PVR,2,7,2018,22,male,On vacation/Pleasure,Friend/Family,,True,289
American Airlines,JFK,TPQ,3,3,2016,50,undisclosed,On vacation/Pleasure,Friend/Family,,True,193
Lufthansa,MTY,IZT,10,4,2018,63,female,Back Home,Home,,False,0
Delta Airlines,PDX,TLC,18,3,2013,53,female,Business/Work,Hotel,Public Transportation,False,0
Aeromexico,SJC,JFK,26,10,2022,80,undisclosed,Back Home,Home,,False,0
Aeromexico,JFK,TPQ,9,4,2017,75,female,Business/Work,Short-term homestay,,True,637
Delta Airlines,GDL,SJC,15,6,2019,53,unspecified,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
Viva Aerobus,TPQ,LAX,2,1,2018,19,unspecified,Business/Work,Friend/Family,,True,153
Alaska,TPQ,LAX,4,6,2016,21,female,Business/Work,Short-term homestay,Own car,False,0
Alaska,LAX,DEN,1,5,2018,47,female,Business/Work,Friend/Family,Pickup,False,0
Delta Airlines,MTY,DEN,31,1,2019,58,unspecified,Back Home,Home,,False,0
American Airlines,MTY,SJC,21,4,2017,26,undisclosed,Back Home,Home,,False,0
Delta Airlines,PVR,TLC,19,8,2016,37,male,Business/Work,Short-term homestay,,True,161
Delta Airlines,LAX,PVR,2,3,2021,70,female,On vacation/Pleasure,Hotel,,True,302
Alaska,TLC,MTY,6,7,2019,25,unspecified,On vacation/Pleasure,Hotel,,True,201
Lufthansa,DEN,MTY,6,11,2022,58,undisclosed,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Volaris,SJC,DEN,23,11,2017,38,male,On vacation/Pleasure,Short-term homestay,Own car,False,0
Viva Aerobus,TPQ,PDX,23,7,2015,78,female,Business/Work,Hotel,Car rental,False,0
Aeromexico,MTY,LAX,24,1,2015,73,female,Business/Work,Home,Pickup,False,0
American Airlines,TLC,LAX,18,9,2018,53,undisclosed,On vacation/Pleasure,Home,Pickup,False,0
Volaris,PDX,GDL,4,5,2018,7,female,Business/Work,Home,Airport cab,False,0
Alaska,LAX,PVR,12,10,2019,13,male,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Lufthansa,DEN,IZT,26,2,2013,30,undisclosed,Back Home,Home,Car rental,False,0
Volaris,TLC,PVR,6,12,2013,38,undisclosed,On vacation/Pleasure,Home,,True,567
Viva Aerobus,GDL,JFK,28,3,2014,84,female,Back Home,Home,,False,0
Lufthansa,MTY,JFK,13,7,2015,35,undisclosed,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Lufthansa,PDX,SJC,5,8,2014,2,female,On vacation/Pleasure,Home,,True,296
Delta Airlines,SJC,GDL,1,9,2022,59,male,Back Home,Home,Airport cab,False,0
American Airlines,JFK,PVR,28,5,2015,85,male,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Delta Airlines,PVR,JFK,15,9,2013,82,unspecified,On vacation/Pleasure,Hotel,,True,187
Delta Airlines,TPQ,PDX,4,2,2014,29,male,Business/Work,Short-term homestay,,True,138
American Airlines,PVR,TPQ,12,4,2019,3,unspecified,Back Home,Home,,False,0
Volaris,GDL,PVR,27,8,2015,8,undisclosed,On vacation/Pleasure,Hotel,Pickup,False,0
American Airlines,IZT,JFK,27,6,2015,62,unspecified,Back Home,Home,,False,0
Alaska,LAX,PDX,9,9,2019,8,undisclosed,Business/Work,Hotel,Car rental,False,0
Aeromar,MTY,PDX,8,7,2017,89,unspecified,On vacation/Pleasure,Hotel,,True,154
American Airlines,PDX,TPQ,6,7,2014,63,undisclosed,Back Home,Home,Car rental,False,0
Volaris,IZT,MTY,17,5,2017,42,undisclosed,Business/Work,Hotel,,True,100
Lufthansa,LAX,MTY,9,6,2014,31,female,On vacation/Pleasure,Home,,True,636
Viva Aerobus,PVR,LAX,15,3,2020,39,male,Back Home,Home,Own car,False,0
Volaris,LAX,TLC,17,6,2021,24,female,Back Home,Home,,False,0
Aeromexico,GDL,MTY,10,5,2021,12,undisclosed,Business/Work,Hotel,,True,182
Volaris,PVR,SJC,22,2,2017,54,female,On vacation/Pleasure,Short-term homestay,Car rental,False,0
Aeromexico,TPQ,DEN,19,6,2017,41,female,Business/Work,Hotel,Car rental,False,0
Delta Airlines,TLC,LAX,22,3,2020,66,unspecified,Back Home,Home,,False,0
Aeromar,TLC,PVR,9,9,2015,34,male,Back Home,Home,,False,0
Aeromar,JFK,PDX,11,10,2015,54,undisclosed,On vacation/Pleasure,Hotel,,True,525
Aeromar,IZT,LAX,28,3,2015,52,male,Back Home,Home,Pickup,False,0
Delta Airlines,TPQ,JFK,18,10,2018,86,female,On vacation/Pleasure,Hotel,,True,30
Aeromexico,JFK,PDX,20,7,2017,32,male,Business/Work,Short-term homestay,Pickup,False,0
American Airlines,MTY,PDX,21,6,2021,76,female,Business/Work,Home,Own car,False,0
Delta Airlines,MTY,JFK,14,6,2022,8,female,Back Home,Home,Public Transportation,False,0
Viva Aerobus,MTY,SJC,31,10,2013,36,unspecified,Business/Work,Short-term homestay,,True,298
Alaska,SJC,LAX,4,2,2023,5,undisclosed,Back Home,Home,,False,0
Aeromexico,PDX,SJC,6,11,2018,7,unspecified,Back Home,Home,,False,0
American Airlines,PDX,MTY,24,3,2014,24,unspecified,Business/Work,Short-term homestay,Public Transportation,False,0
Delta Airlines,TLC,TPQ,22,4,2017,87,unspecified,Back Home,Home,Own car,False,0
American Airlines,TLC,MTY,25,1,2018,71,female,Business/Work,Home,,True,430
Aeromexico,GDL,JFK,20,5,2015,84,male,Business/Work,Short-term homestay,Public Transportation,False,0
Alaska,IZT,MTY,4,9,2022,85,unspecified,On vacation/Pleasure,Friend/Family,,True,665
American Airlines,IZT,JFK,6,12,2016,65,male,Back Home,Home,,False,0
American Airlines,GDL,SJC,11,9,2017,71,undisclosed,On vacation/Pleasure,Short-term homestay,Pickup,False,0
American Airlines,PVR,TLC,31,10,2022,17,male,Back Home,Home,,False,0
Volaris,JFK,LAX,23,8,2013,86,male,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Alaska,TPQ,MTY,21,11,2015,33,unspecified,On vacation/Pleasure,Hotel,,True,109
Lufthansa,MTY,DEN,31,3,2013,28,female,Business/Work,Short-term homestay,Airport cab,False,0
Aeromexico,TPQ,SJC,2,1,2017,76,male,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Volaris,LAX,TLC,25,10,2016,49,female,Business/Work,Hotel,Mobility as a service,False,0
American Airlines,MTY,TLC,17,11,2013,43,unspecified,Back Home,Home,Mobility as a service,False,0
American Airlines,TLC,TPQ,25,7,2018,25,undisclosed,On vacation/Pleasure,Home,,True,594
Aeromar,JFK,PDX,30,8,2019,39,female,Back Home,Home,,False,0
Volaris,PVR,LAX,15,6,2021,50,unspecified,Business/Work,Short-term homestay,,True,556
Aeromexico,TPQ,GDL,19,7,2020,34,unspecified,Business/Work,Short-term homestay,Mobility as a service,False,0
Aeromexico,MTY,DEN,16,8,2016,77,undisclosed,Back Home,Home,Public Transportation,False,0
Aeromar,PVR,SJC,25,8,2015,27,female,Back Home,Home,,False,0
Volaris,TLC,SJC,10,3,2019,52,male,Back Home,Home,,False,0
American Airlines,IZT,GDL,23,8,2021,68,undisclosed,Back Home,Home,,False,0
Aeromar,TPQ,TLC,2,8,2018,25,unspecified,On vacation/Pleasure,Short-term homestay,,True,459
Aeromar,LAX,IZT,22,5,2017,64,unspecified,On vacation/Pleasure,Home,Own car,False,0
Aeromar,SJC,PDX,12,5,2016,78,female,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Aeromexico,JFK,MTY,22,6,2014,89,undisclosed,Business/Work,Friend/Family,,True,65
Volaris,IZT,GDL,3,1,2023,87,unspecified,On vacation/Pleasure,Hotel,Car rental,False,0
Alaska,GDL,DEN,5,10,2017,88,female,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Lufthansa,TPQ,PVR,15,11,2014,56,female,Back Home,Home,,False,0
American Airlines,DEN,PDX,29,4,2013,38,undisclosed,On vacation/Pleasure,Friend/Family,,True,240
Aeromexico,TLC,TPQ,22,4,2023,60,undisclosed,On vacation/Pleasure,Home,Mobility as a service,False,0
Lufthansa,SJC,LAX,13,9,2021,60,male,On vacation/Pleasure,Home,,True,543
Delta Airlines,MTY,SJC,22,11,2021,83,unspecified,Back Home,Home,,False,0
Volaris,DEN,LAX,24,2,2015,29,undisclosed,Business/Work,Friend/Family,Mobility as a service,False,0
Lufthansa,PVR,MTY,20,4,2020,35,unspecified,Back Home,Home,,False,0
American Airlines,TPQ,PDX,7,5,2017,10,unspecified,On vacation/Pleasure,Home,Car rental,False,0
American Airlines,MTY,JFK,17,9,2018,84,male,Back Home,Home,Airport cab,False,0
Aeromexico,TLC,DEN,29,10,2018,21,male,Business/Work,Hotel,,True,543
Delta Airlines,TPQ,SJC,15,6,2014,54,undisclosed,Back Home,Home,,False,0
Aeromexico,SJC,DEN,5,10,2016,54,unspecified,Business/Work,Hotel,Pickup,False,0
Volaris,IZT,SJC,12,8,2015,27,undisclosed,Business/Work,Hotel,,True,340
American Airlines,MTY,PVR,31,8,2022,43,unspecified,Back Home,Home,Public Transportation,False,0
Aeromexico,DEN,PDX,16,12,2019,34,female,Business/Work,Hotel,,True,60
Alaska,PVR,DEN,12,11,2022,49,undisclosed,On vacation/Pleasure,Hotel,,True,509
Aeromar,TPQ,GDL,3,9,2018,61,unspecified,Back Home,Home,Car rental,False,0
Delta Airlines,DEN,TPQ,15,9,2022,13,undisclosed,Back Home,Home,,False,0
American Airlines,PDX,JFK,26,12,2013,2,female,Business/Work,Hotel,,True,616
Alaska,TPQ,TLC,20,10,2013,3,female,Back Home,Home,,False,0
Aeromexico,TPQ,JFK,9,6,2014,52,unspecified,Business/Work,Friend/Family,Pickup,False,0
Delta Airlines,MTY,TPQ,19,2,2015,27,female,Back Home,Home,,False,0
American Airlines,IZT,GDL,17,3,2016,24,unspecified,Back Home,Home,,False,0
Aeromar,TPQ,PDX,2,10,2015,21,female,Back Home,Home,,False,0
Lufthansa,DEN,PVR,15,10,2022,26,undisclosed,On vacation/Pleasure,Friend/Family,Car rental,False,0
Delta Airlines,MTY,GDL,13,3,2013,57,male,Back Home,Home,Public Transportation,False,0
Delta Airlines,DEN,SJC,23,2,2021,89,unspecified,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Volaris,DEN,TLC,5,2,2020,3,male,On vacation/Pleasure,Home,,True,46
Aeromexico,PVR,TLC,13,4,2023,30,male,On vacation/Pleasure,Home,Car rental,False,0
Lufthansa,SJC,DEN,27,5,2013,60,unspecified,Back Home,Home,,False,0
American Airlines,TPQ,MTY,29,5,2014,84,male,Back Home,Home,,False,0
Lufthansa,TLC,MTY,9,5,2022,80,male,Business/Work,Friend/Family,Own car,False,0
Aeromar,IZT,SJC,3,5,2014,21,unspecified,Business/Work,Home,Pickup,False,0
Aeromar,TLC,PDX,13,8,2017,16,undisclosed,Business/Work,Home,,True,477
Alaska,SJC,GDL,31,8,2016,85,male,Business/Work,Friend/Family,Own car,False,0
Alaska,MTY,PDX,18,5,2014,48,male,Business/Work,Hotel,Public Transportation,False,0
American Airlines,GDL,TPQ,28,8,2015,55,undisclosed,On vacation/Pleasure,Home,Pickup,False,0
Lufthansa,IZT,MTY,8,9,2018,89,undisclosed,Business/Work,Hotel,Pickup,False,0
Volaris,PDX,LAX,30,8,2018,17,unspecified,On vacation/Pleasure,Short-term homestay,,True,104
Aeromar,DEN,IZT,30,3,2019,27,unspecified,On vacation/Pleasure,Hotel,,True,355
Volaris,PDX,DEN,17,7,2014,74,female,On vacation/Pleasure,Hotel,,True,391
Viva Aerobus,TPQ,JFK,2,2,2013,53,unspecified,Business/Work,Short-term homestay,Pickup,False,0
American Airlines,TLC,SJC,23,6,2022,76,unspecified,Back Home,Home,,False,0
Alaska,MTY,SJC,15,10,2016,30,undisclosed,Back Home,Home,Mobility as a service,False,0
American Airlines,GDL,IZT,2,3,2015,71,undisclosed,Back Home,Home,Airport cab,False,0
Viva Aerobus,IZT,JFK,14,7,2013,28,undisclosed,Business/Work,Hotel,Public Transportation,False,0
Aeromar,JFK,LAX,16,1,2019,55,undisclosed,Business/Work,Home,Public Transportation,False,0
Alaska,JFK,MTY,1,10,2016,42,male,On vacation/Pleasure,Hotel,Airport cab,False,0
Lufthansa,PVR,PDX,10,12,2014,32,female,Business/Work,Hotel,Car rental,False,0
Lufthansa,GDL,TLC,22,1,2018,6,female,Back Home,Home,,False,0
Alaska,MTY,TPQ,12,9,2014,65,male,Back Home,Home,,False,0
Alaska,TPQ,GDL,2,9,2022,84,male,Business/Work,Friend/Family,,True,688
Aeromar,IZT,PDX,29,6,2013,54,male,Back Home,Home,Public Transportation,False,0
Viva Aerobus,PDX,GDL,26,1,2020,50,male,Business/Work,Friend/Family,Own car,False,0
Aeromexico,MTY,PVR,3,11,2022,2,unspecified,On vacation/Pleasure,Friend/Family,,True,117
Volaris,LAX,DEN,4,1,2018,88,undisclosed,Business/Work,Home,,True,659
Lufthansa,TLC,MTY,23,9,2021,32,unspecified,Back Home,Home,Public Transportation,False,0
American Airlines,JFK,GDL,24,2,2021,81,undisclosed,Back Home,Home,Airport cab,False,0
Alaska,TPQ,MTY,21,11,2022,38,female,On vacation/Pleasure,Home,,True,110
Aeromar,TPQ,SJC,24,11,2020,43,female,On vacation/Pleasure,Hotel,,True,262
Volaris,SJC,LAX,12,3,2023,82,male,Business/Work,Home,,True,448
Aeromexico,IZT,GDL,8,2,2020,67,male,On vacation/Pleasure,Home,,True,205
Aeromexico,PVR,PDX,16,6,2020,14,undisclosed,Business/Work,Short-term homestay,Airport cab,False,0
Lufthansa,TLC,IZT,21,4,2023,10,male,Back Home,Home,Public Transportation,False,0
Aeromar,GDL,JFK,18,9,2020,89,undisclosed,Business/Work,Short-term homestay,Pickup,False,0
American Airlines,LAX,SJC,2,4,2021,78,unspecified,Business/Work,Hotel,,True,428
Lufthansa,MTY,PDX,17,5,2013,2,female,Back Home,Home,Car rental,False,0
Delta Airlines,LAX,TPQ,20,9,2020,56,unspecified,On vacation/Pleasure,Home,,True,609
Aeromexico,SJC,PVR,19,4,2021,24,male,Business/Work,Hotel,Airport cab,False,0
American Airlines,DEN,TPQ,10,3,2014,11,undisclosed,Back Home,Home,,False,0
Alaska,PDX,TPQ,21,4,2017,75,unspecified,Business/Work,Short-term homestay,,True,401
Lufthansa,TLC,GDL,10,2,2020,76,male,Back Home,Home,,False,0
Alaska,LAX,DEN,16,11,2018,79,undisclosed,Business/Work,Hotel,,True,178
Alaska,JFK,DEN,1,10,2020,8,male,On vacation/Pleasure,Friend/Family,Own car,False,0
Delta Airlines,TLC,TPQ,26,10,2021,69,unspecified,On vacation/Pleasure,Hotel,,True,703
Aeromexico,IZT,TPQ,2,5,2019,35,unspecified,Back Home,Home,Car rental,False,0
Alaska,DEN,JFK,12,11,2013,82,undisclosed,Back Home,Home,Own car,False,0
Delta Airlines,TPQ,TLC,14,3,2018,77,male,Business/Work,Hotel,,True,431
Alaska,PVR,MTY,13,9,2013,88,female,Business/Work,Home,Public Transportation,False,0
Aeromexico,PDX,TPQ,9,5,2020,52,undisclosed,Business/Work,Home,Airport cab,False,0
Lufthansa,PDX,TPQ,8,6,2019,12,undisclosed,Business/Work,Hotel,,True,484
Lufthansa,MTY,TLC,23,6,2022,55,female,Back Home,Home,,False,0
Delta Airlines,PDX,GDL,24,7,2018,46,male,On vacation/Pleasure,Friend/Family,Pickup,False,0
Viva Aerobus,PVR,JFK,2,5,2019,53,unspecified,Business/Work,Short-term homestay,,True,589
Aeromexico,TPQ,PDX,19,11,2015,39,undisclosed,On vacation/Pleasure,Short-term homestay,,True,702
American Airlines,GDL,MTY,22,11,2020,89,male,Back Home,Home,Own car,False,0
Viva Aerobus,LAX,GDL,25,4,2019,69,female,Business/Work,Friend/Family,,True,607
Volaris,TPQ,GDL,31,7,2013,81,female,Back Home,Home,,False,0
Lufthansa,IZT,TLC,17,4,2013,19,unspecified,On vacation/Pleasure,Hotel,Public Transportation,False,0
Lufthansa,GDL,LAX,20,8,2021,60,male,Business/Work,Hotel,,True,361
Delta Airlines,TPQ,GDL,8,12,2019,22,male,On vacation/Pleasure,Friend/Family,,True,298
Aeromar,JFK,IZT,18,10,2015,69,female,Business/Work,Friend/Family,Airport cab,False,0
Aeromar,IZT,TLC,12,3,2023,19,unspecified,On vacation/Pleasure,Hotel,,True,346
Alaska,PDX,TLC,3,12,2014,26,male,Back Home,Home,Car rental,False,0
American Airlines,DEN,PDX,13,8,2016,35,unspecified,On vacation/Pleasure,Friend/Family,,True,428
American Airlines,TLC,DEN,12,3,2020,72,unspecified,On vacation/Pleasure,Home,Car rental,False,0
Aeromar,JFK,TPQ,20,2,2013,90,unspecified,Business/Work,Friend/Family,Pickup,False,0
Delta Airlines,SJC,TPQ,7,11,2019,87,undisclosed,Business/Work,Home,,True,80
Alaska,IZT,TLC,2,9,2014,33,male,Back Home,Home,,False,0
Aeromexico,TLC,GDL,25,8,2014,53,unspecified,Business/Work,Short-term homestay,,True,231
American Airlines,TLC,IZT,23,10,2020,69,undisclosed,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Viva Aerobus,PVR,LAX,8,4,2022,48,undisclosed,Business/Work,Hotel,Airport cab,False,0
Alaska,DEN,TPQ,10,10,2015,71,undisclosed,Back Home,Home,,False,0
Aeromar,SJC,GDL,1,6,2020,22,unspecified,Business/Work,Home,,True,189
Volaris,TPQ,MTY,10,1,2018,12,male,Back Home,Home,,False,0
Lufthansa,PVR,SJC,27,8,2022,31,female,Back Home,Home,Pickup,False,0
American Airlines,TPQ,LAX,12,7,2013,14,male,Back Home,Home,Mobility as a service,False,0
Delta Airlines,PDX,TPQ,4,6,2019,89,undisclosed,On vacation/Pleasure,Short-term homestay,,True,572
Delta Airlines,JFK,GDL,14,1,2015,89,female,On vacation/Pleasure,Home,Public Transportation,False,0
American Airlines,SJC,DEN,25,6,2016,16,undisclosed,Business/Work,Friend/Family,,True,238
American Airlines,JFK,PVR,17,8,2021,89,female,Business/Work,Friend/Family,,True,52
Viva Aerobus,PVR,SJC,5,2,2021,61,male,Back Home,Home,Pickup,False,0
Viva Aerobus,DEN,PDX,2,2,2022,3,male,Business/Work,Friend/Family,Airport cab,False,0
Volaris,IZT,DEN,22,4,2015,77,male,Business/Work,Friend/Family,,True,56
Aeromar,SJC,TLC,9,6,2018,9,female,On vacation/Pleasure,Hotel,Car rental,False,0
Viva Aerobus,PVR,PDX,5,4,2019,52,male,Business/Work,Friend/Family,Car rental,False,0
Lufthansa,PDX,LAX,1,8,2014,16,unspecified,On vacation/Pleasure,Short-term homestay,,True,67
Aeromar,MTY,LAX,9,5,2014,59,unspecified,Back Home,Home,Car rental,False,0
Aeromar,TLC,TPQ,14,3,2023,73,unspecified,Business/Work,Hotel,,True,497
Delta Airlines,MTY,LAX,29,7,2021,10,female,On vacation/Pleasure,Home,,True,566
Delta Airlines,IZT,TPQ,13,10,2013,21,undisclosed,On vacation/Pleasure,Home,,True,480
Lufthansa,LAX,PDX,7,1,2018,47,undisclosed,Back Home,Home,,False,0
Viva Aerobus,JFK,IZT,22,2,2022,85,unspecified,On vacation/Pleasure,Hotel,Public Transportation,False,0
Delta Airlines,PVR,MTY,26,4,2022,7,female,Business/Work,Friend/Family,,True,493
Delta Airlines,JFK,PVR,8,5,2018,2,male,Business/Work,Home,,True,612
Lufthansa,LAX,GDL,15,7,2021,68,undisclosed,On vacation/Pleasure,Friend/Family,Car rental,False,0
Aeromar,JFK,PVR,19,1,2020,35,unspecified,Back Home,Home,,False,0
Alaska,TPQ,GDL,11,6,2013,80,undisclosed,Business/Work,Short-term homestay,,True,282
Lufthansa,LAX,MTY,8,6,2019,34,unspecified,Business/Work,Hotel,,True,455
Alaska,JFK,LAX,26,10,2018,53,unspecified,Business/Work,Home,,True,309
Lufthansa,GDL,TLC,13,6,2015,37,female,On vacation/Pleasure,Friend/Family,Pickup,False,0
Viva Aerobus,TPQ,JFK,27,10,2018,41,unspecified,Business/Work,Hotel,Own car,False,0
Volaris,PVR,GDL,20,11,2021,16,male,Business/Work,Home,,True,31
Viva Aerobus,SJC,GDL,31,3,2023,86,female,Back Home,Home,,False,0
Volaris,PDX,MTY,8,12,2021,52,unspecified,On vacation/Pleasure,Home,Pickup,False,0
Lufthansa,PVR,TPQ,26,2,2014,46,male,Business/Work,Short-term homestay,Car rental,False,0
Aeromar,PDX,DEN,9,11,2020,55,male,Back Home,Home,,False,0
Aeromar,GDL,DEN,18,4,2013,44,male,Business/Work,Short-term homestay,,True,85
Delta Airlines,PVR,LAX,13,4,2018,35,male,Business/Work,Friend/Family,,True,205
